,wx_account_name, count
0,PUA蚂蚁团队,2
1,创意很关键,1
2,营销界,1
3,创意果子,1
4,麦子熟了,2
5,毒舌科技,2
6,阅读社会,2
7,warfalcon,1
8,戏梦空间,1
9,品牌与管理,1
10,思想聚焦,2
11,富兰克林读书俱乐部,3
12,缓缓说,1
13,Bobo的悦读时光,2
14,新兴产业投资联盟,2
15,聚金资本,1
16,看准,1
17,TalentGuide,2
18,同学资源网,1
19,乔布简历,1
20,老踏科研联盟,3
21,苏心,2
22,知识付费优惠券,4
23,坤龙老师团队,1
24,春楠整理,6
25,玩转职场,2
26,360doc个人图书馆,1
27,环球旅行,1
28,媒哥开门,3
29,金融纵横谈,2
30,大富建造师,1
31,宛央女子,1
32,眼明心亮,1
33,思想新知,1
34,心理时间,1
35,doyoudo,2
36,恶魔奶爸Sam,7
37,喜马拉雅FM,1
38,Skill成长课堂,18
39,财经记者圈,1
40,HUGO,2
41,中国青年报,1
42,做个搭配达人,1
43,小步流星,1
44,彼岸天漫画,2
45,创业邦,1
46,剽悍一只猫,2
47,女性成长新航线,1
48,麦子成长营,2
49,阿何有话说,38
50,金融街李莫愁,1
51,郎club,2
52,悦读进化论,1
53,互联网分析沙龙,2
54,风格上追求自由的分享,1
55,职场充电宝,18
56,黑天鹅图书,3
57,汤小小,1
58,有为青年空间,1
59,有号以后,11
60,CITYZINE,1
61,澳洲折扣资讯,1
62,MBA俱乐部,1
63,MOOC,1
64,南瓜学堂,2
65,上海仓储,2
66,现代诗歌星期六,1
67,基金从业资格考试,3
68,职场心理系,1
69,征文约稿动态,1
70,青年中国说,1
71,IT高管会,2
72,晚安书院,8
73,新墨客,1
74,智通职场,1
75,Spenser,1
76,搜狗阅读,2
77,社会学了没,1
78,不止读书,1
79,理财频道,1
80,Kris在路上,2
81,倾我们所能去生活,2
82,一直特立独行的猫,12
83,小情人游世界,1
84,牛弹琴,1
85,曲玮玮,1
86,遇见小mi,2
87,妮妮小屋,1
88,征稿网,1
89,书单,1
90,生活,1
91,大连晚报,1
92,飞碟说,1
93,唯库文化,1
94,风茕子,1
95,壹品课,2
96,长江商业评论,2
97,体育圈人,1
98,蓝鲸浑水,1
99,深夜一段话,2
100,人脉圈济宁哥,1
101,单仁行,2
102,意林,2
103,生活艺术汇,2
104,充电好课,1
105,秋小愚,1
106,小橙干货分享,1
107,悦读,1
108,Photoshop大师,1
109,MBA精英圈,2
110,每天学个小知识,1
111,热门语录,1
112,联图LINKTU,8
113,与尔同消万古愁,2
114,落知书社,2
115,小薇优选,1
116,青岛训犬,1
117,清单,4
118,娱乐扒卦,1
119,肥肥猫的小酒馆,1
120,金融八卦女频道,1
121,村上春树的艺术世界,1
122,一周进步,1
123,绝地求生大逃杀开黑,4
124,免税零售专家,1
125,魅力Ti验,13
126,精品课程云分享,1
127,笨鸟文摘,1
128,商业洞察,1
129,大大的世界和小小的人儿,2
130,英语每日充电,4
131,絮絮道来吧,1
132,职场木沐说,1
133,行尸走肉免费资源,1
134,美业人人,1
135,苏小旗,1
136,好好学习社,2
137,新东方,1
138,十万加爆文,1
139,恩美创投圈,1
140,鸵鸟VIP,1
141,卢璐说,3
142,行动派DreamList,1
143,金融内参,1
